Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104290.0594108,1454,1676104289,997586880,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.10417,1455,1676104290,89591488,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.2032373,1456,1676104290,197595584,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.3057718,1457,1676104290,293599936,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.4053454,1458,1676104290,397604032,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.5086443,1459,1676104290,493608640,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.609917,1460,1676104290,597612992,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.702689,1461,1676104290,693617600,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.8037345,1462,1676104290,797622208,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104290.9037557,1463,1676104290,894626816,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.010087,1464,1676104291,1631424,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.1061249,1465,1676104291,93635776,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.2087808,1466,1676104291,197639872,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.3054237,1467,1676104291,293644480,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.4083061,1468,1676104291,401648832,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.5085933,1469,1676104291,493653440,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.6067853,1470,1676104291,601658048,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.7048416,1471,1676104291,693662656,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.8052714,1472,1676104291,789667264,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104291.9075491,1473,1676104291,897671872,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.0066113,1474,1676104292,1676736,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.1085577,1475,1676104292,93681344,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.2046998,1476,1676104292,189685184,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.3038626,1477,1676104292,297689792,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.403271,1478,1676104292,389694912,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.5068262,1479,1676104292,497699776,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.6065686,1480,1676104292,589704640,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.7044537,1481,1676104292,697708992,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.8055513,1482,1676104292,789713856,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104292.9038672,1483,1676104292,897719488,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.0026875,1484,1676104292,989724096,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.1038668,1485,1676104293,98728704,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.2054317,1486,1676104293,189731520,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.3026679,1487,1676104293,297735872,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.4050784,1488,1676104293,393740480,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.5064137,1489,1676104293,497745344,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.6075969,1490,1676104293,589749696,,255,1499,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.7059407,1491,1676104293,697755840,,255,1498,1498,1066,1498,1499,1065,1065,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.8062673,1492,1676104293,793759936,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104293.904515,1493,1676104293,897765312,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.0032952,1494,1676104293,993770176,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.102475,1495,1676104294,97777088,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.2094219,1496,1676104294,193781952,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.3036156,1497,1676104294,297787328,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.4039207,1498,1676104294,393793984,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.5059528,1499,1676104294,497800128,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.6043124,1500,1676104294,593806016,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.7028532,1501,1676104294,697812160,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.8030772,1502,1676104294,793817792,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104294.9031699,1503,1676104294,897824704,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104295.0068512,1504,1676104294,993832128,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104295.1059487,1505,1676104295,85839040,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104295.2044256,1506,1676104295,193846208,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104295.30502,1507,1676104295,285853120,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1933,1514,1542,1514,1514,1514,1514,998,998
1676104295.4062436,1508,1676104295,397861056,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104295.506734,1509,1676104295,489869504,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104295.6055965,1510,1676104295,593877696,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104295.706371,1511,1676104295,701886656,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104295.8058586,1512,1676104295,797897152,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104295.9042957,1513,1676104295,889906368,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.0065827,1514,1676104295,993915840,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.1072884,1515,1676104296,89925568,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.2055545,1516,1676104296,197935552,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.3071284,1517,1676104296,301946048,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.4058888,1518,1676104296,397956544,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.5049195,1519,1676104296,489967552,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.60533,1520,1676104296,597978560,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.7080524,1521,1676104296,701989568,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.8063622,1522,1676104296,798000832,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104296.9067369,1523,1676104296,890012864,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.0070295,1524,1676104296,998024896,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.1076005,1525,1676104297,94037184,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.2085817,1526,1676104297,198049728,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.3067553,1527,1676104297,290062016,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.4071178,1528,1676104297,402074816,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.5077229,1529,1676104297,494087872,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.606793,1530,1676104297,598100928,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.7060041,1531,1676104297,694114496,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.8083506,1532,1676104297,802128064,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104297.906925,1533,1676104297,894142144,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.0063481,1534,1676104297,986156224,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.1077664,1535,1676104298,94170560,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.2071347,1536,1676104298,186185408,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.3071039,1537,1676104298,294200256,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.4078755,1538,1676104298,386215616,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.5081983,1539,1676104298,494230720,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.606249,1540,1676104298,590246848,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.7071822,1541,1676104298,694262720,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.8085098,1542,1676104298,802278848,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104298.9089146,1543,1676104298,894294464,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.011625,1544,1676104298,990310592,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.109578,1545,1676104299,94325952,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.20622,1546,1676104299,190341824,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.3087344,1547,1676104299,294358464,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.40787,1548,1676104299,390375104,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.5086336,1549,1676104299,498393024,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.60806,1550,1676104299,590409920,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.7095997,1551,1676104299,698427840,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.8089867,1552,1676104299,790443968,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104299.9084444,1553,1676104299,898462144,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.0096388,1554,1676104300,2500032,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.110352,1555,1676104300,98500032,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.2088969,1556,1676104300,191520256,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.307568,1557,1676104300,298539456,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.408523,1558,1676104300,390559168,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.5074959,1559,1676104300,498578112,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.6096663,1560,1676104300,594598080,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.7097857,1561,1676104300,698618304,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.8079562,1562,1676104300,790638784,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104300.9070451,1563,1676104300,898659520,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.010281,1564,1676104300,994700736,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.1092124,1565,1676104301,98700736,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.2098916,1566,1676104301,194722496,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.3086185,1567,1676104301,298744512,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.4112275,1568,1676104301,394787776,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.5091884,1569,1676104301,486787776,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.6092908,1570,1676104301,594811840,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.7111003,1571,1676104301,698856640,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.8085887,1572,1676104301,794856640,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104301.9104688,1573,1676104301,886878400,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.0114717,1574,1676104301,994923200,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.1103644,1575,1676104302,86946240,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.210755,1576,1676104302,194969792,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.3105807,1577,1676104302,286993088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.408984,1578,1676104302,394993088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.5116954,1579,1676104302,503040192,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.6109412,1580,1676104302,599064512,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.7093775,1581,1676104302,691064512,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.8114297,1582,1676104302,795113152,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104302.9116938,1583,1676104302,903137728,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.0101173,1584,1676104302,999162048,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.1102962,1585,1676104303,91188160,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.2116315,1586,1676104303,199213504,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.3109927,1587,1676104303,291239104,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.4112296,1588,1676104303,399264960,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.5102773,1589,1676104303,491290560,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.6118288,1590,1676104303,599316672,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.7116947,1591,1676104303,691342528,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.8105147,1592,1676104303,799369152,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.9133718,1593,1676104303,891395264,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.012191,1594,1676104303,999421888,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.1120656,1595,1676104304,91448512,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.2111175,1596,1676104304,199475648,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.3167539,1597,1676104304,291502528,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.411446,1598,1676104304,399529664,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.5118089,1599,1676104304,491557056,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.6105185,1600,1676104304,587585216,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.7116346,1601,1676104304,695613120,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.810888,1602,1676104304,799640768,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.9158883,1603,1676104304,895669184,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.0115855,1604,1676104304,991697088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.1133573,1605,1676104305,95725504,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
